metric,player,value
Runs,William Alfred,
Runs,Steven Lowell,
Runs,Andrew Earl,
Runs,Thomas Eugene,
Runs,John Frederick,
Runs,Frederick William,
Runs,Michael Leon,
Runs,James Michael,
Runs,Grant Dwight,
Runs,Jesse Harrison,
Runs,Clair Barth,
Runs,Robert Dale,
Runs,David Charles,
Runs,James Lester,
Runs,Donald Paul,
Runs,Steven Jack,
Runs,Steven Jack,
Runs,Kevin Richard,
Runs,John Andrew Charles,
Runs,Lerrin Harris,
Runs,William Francis,
Runs,David Lawrence,
Runs,Dennis Patrick,
Runs,Claude Edward,
Runs,Michael Stephen,
Runs,Aurelio Alejandro,
Runs,Juan Antonio,
Runs,Felix Anthony,
Runs,Rudolph,
Runs,Rudolph,
Runs,Lyndall Dale,
Runs,Samuel Edward,
Runs,David Arthur,
Runs,James Joseph,
Runs,Roger Wesley,
Runs,Carl William,
Runs,Donald Louis,
Runs,James Edward,
Runs,David Percy,
Runs,James Alvin,
Runs,William Raymond,
Runs,Orlando Gregorio,
Runs,Gaylord Jackson,
Runs,James Evan,
Runs,Stanley,
Runs,Fred Ingles,
Runs,Fred Ingles,
Runs,Horacio,
Runs,Richard Henry,
Runs,Luis Joaquin,
Runs,James Francis,
Runs,Barry John,
Runs,Robert Allen,
Runs,Vernon Gerald,
Runs,Lynn Nolan,
Runs,Kenneth George,
Runs,Kenneth George,
Runs,Richard Clyde,
Runs,Charles Frederick,
Runs,Diego Pablo,
Runs,David Wayne,
Runs,Richard Jay,
Runs,Richard Jay,
Runs,James Philip,
Runs,William Robert,
Runs,James Michael,
Runs,William Grover,
Runs,Donald Joseph,
Runs,William Hambly,
Runs,Frank Daryl,
Runs,Jeffrey Michael,
Runs,Stanley Brown,
Runs,Richard William,
Runs,Richard William,
Runs,Thomas Henry,
Runs,William Edward,
Runs,Cecil Lee,
Runs,Robert Andrew,
Runs,James Luke,
Runs,Michael Sherman,
Runs,Milton Edward,
Runs,Richard Charles,
Runs,Richard Lee,
Runs,Richard Lee,
Runs,Clyde,
Runs,Kenneth Warren,
Runs,Lloyd Cecil,
Runs,Lawrence Dennis,
Runs,Larry Eugene,
Runs,Fernando,
Runs,Gerald Lee,
Runs,Michael James,
Runs,Edward Norman,
Runs,Raymond Douglas,
Runs,Steven Charles,
Runs,James Blair,
Runs,James Blair,
Runs,Stephen Lawrence,
Runs,Vida Rochelle,
Runs,Richard Allen,
Runs,James Thomas,
Runs,Nelson Kelley,
Runs,Peter Sven,
Runs,Edward Dwain,
Runs,Jackie Gene,
Runs,Jackie Gene,
Runs,Jim Scott,
Runs,Steven Lee,
Runs,Thomas William,
Runs,William Franklin,
Runs,William Radhames,
Runs,Reginald Leslie,
Runs,David Eugene,
Runs,James William,
Runs,Joseph Howard,
Runs,Alton Ray,
Runs,Miguel Angel,
Runs,Delancey Lafayette,
Runs,John Bruce,
Runs,George Henry,
Runs,Charles Thomas,
Runs,Patrick Edward,
Runs,Richard Anthony,
Runs,Dennis Lee,
Runs,Eduardo,
Runs,Alan James,
Runs,Michael Kendall,
Runs,Terry Jay,
Runs,Steven Raymond,
Runs,Marcus Wayne,
Runs,James Leslie,
Runs,Edward Paul,
Runs,William Joseph,
Runs,Richard Michael,
Runs,Stephen Joseph,
Runs,Ross Albert,
Runs,Lawrence Cyril,
Runs,David Edward,
Runs,William Alfred,
Runs,Steven Lowell,
Runs,Roric Edward,
Runs,Andrew Earl,
Runs,Thomas Matthew,
Runs,John Frederick,
Runs,Richard Michael,
Runs,Charles Marion,
Runs,Charles,
Runs,James Augustus,
Runs,Grant Dwight,
Runs,Jesse Harrison,
Runs,Jesse Harrison,
Runs,Ferguson Arthur,
Runs,David Charles,
Runs,James Lee,
Runs,Michael Dennis,
Runs,James Lester,
Runs,Robert Christian,
Runs,Kenneth Peter,
Runs,Richard Allen,
Runs,John Andrew Charles,
Runs,Lerrin Harris,
Runs,Richard Otto,
Runs,David Eugene,
Runs,William Francis,
Runs,David Lawrence,
Runs,Dennis Patrick,
Runs,Michael Stephen,
Runs,Albert Walter,
Runs,Thomas Anthony,
Runs,Felix Anthony,
Runs,Robert Craig,
Runs,George Francis,
Runs,James Joseph,
Runs,Craig Seton,
Runs,Paul Michael,
Runs,Isidro Pedroza,
Runs,Johnny Lee,
Runs,Danny Leon,
Runs,Larry Patrick,
Runs,Claude Wilson,
Runs,James Edward,
Runs,Joseph Martin,
Runs,David Percy,
Runs,James Alvin,
Runs,Michael Joseph,
Runs,Orlando Gregorio,
Runs,Eugene David,
Runs,Gaylord Jackson,
Runs,James Evan,
Runs,Stanley,
Runs,Fred Ingles,
Runs,Lee Patrick Thomas,
Runs,Richard Henry,
Runs,Luis Joaquin,
Runs,Robert Allen,
Runs,Robert Allen,
Runs,Robert Allen,
Runs,Eduardo,
Runs,Gary Douglas,
Runs,Vernon Gerald,
Runs,Lynn Nolan,
Runs,Raymond Michael,
Runs,Richard Clyde,
Runs,Ralph Robert,
Runs,David Wayne,
Runs,Edward Nelson,
Runs,Timothy Paul,
Runs,James Michael,
Runs,Stanley Brown,
Runs,Richard William,
Runs,Michael Augustine,
Runs,William Edward,
Runs,James Harold,
Runs,Cecil Lee,
Runs,Peter Dennis,
Runs,Michael Richard,
Runs,Robert Thomas,
Runs,Michael Sherman,
Runs,Mark Eugene,
Runs,James Arthur,
Runs,Clyde,
Runs,William Glenn,
Runs,Doyle Lafayette,
Runs,Doyle Lafayette,
Runs,Gerald Lee,
Runs,Rick Gerald,
Runs,Michael James,
Runs,Raymond Douglas,
Runs,Leonard Harold,
Runs,Francisco Javier,
Runs,Steven Charles,
Runs,Christopher Sean,
Runs,Gary Ray,
Runs,James Blair,
Runs,James Douglas,
Runs,Vida Rochelle,
Runs,Rik Aalbert,
Runs,Rik Aalbert,
Runs,Thomas Winton,
Runs,Richard Allen,
Runs,Kenneth Alven,
Runs,James Thomas,
Runs,Nelson Kelley,
Runs,Peter Sven,
Runs,Jackie Gene,
Runs,Thomas Michael,
Runs,Steven Lee,
Runs,Thomas William,
Runs,Clay Palmer,
Runs,William Radhames,
Runs,Buford Billy,
Runs,Reginald Leslie,
Runs,James William,
Runs,Joseph Howard,
Runs,Gerald Allen,
Runs,James Frederick,
Runs,Miguel Angel,
Runs,George Henry,
Runs,Patrick Edward,
Runs,Steven John,
Runs,Dennis Lee,
Runs,Dock Phillip,
Runs,Mark Steven,
Runs,Eduardo,
Runs,Michael Kendall,
Runs,Terry Jay,
Runs,Steven Raymond,
Runs,Daniel Vincent,
Runs,Marcus Wayne,
Runs,Edward Paul,
Runs,Richard Michael,
Runs,Ross Albert,
Runs,Bryan Edmund,
Runs,David Edward,
Runs,Steven Lowell,
Runs,Paul Franklin,
Runs,Andrew Earl,
Runs,Thomas Matthew,
Runs,Joseph Walter,
Runs,Frederick William,
Runs,Kenneth Dale,
Runs,Kenneth Dale,
Runs,Grant Dwight,
Runs,Jesse Harrison,
Runs,Ferguson Arthur,
Runs,Clair Barth,
Runs,Thomas Raymond,
Runs,Thomas Frederick,
Runs,James Lester,
Runs,Donald Paul,
Runs,Robert Christian,
Runs,Kevin Richard,
Runs,Kenneth Peter,
Runs,Richard Allen,
Runs,John Andrew Charles,
Runs,David Eugene,
Runs,William Harry,
Runs,David Lawrence,
Runs,Stephen Lee,
Runs,Jose Dennis,
Runs,Felix Anthony,
Runs,Felix Anthony,
Runs,Rudolph,
Runs,Rudolph,
Runs,Scott Houston,
Runs,Dyar K.,
Runs,Craig Seton,
Runs,Paul Michael,
Runs,Isidro Pedroza,
Runs,Lawrence James,
Runs,Thomas Andrew,
Runs,Thomas Andrew,
Runs,Roger Eugene,
Runs,Michael Kelvin,
Runs,Johnny Lee,
Runs,James Edward,
Runs,Harry Michael,
Runs,David Percy,
Runs,David Percy,
Runs,James Alvin,
Runs,Harry William,
Runs,Michael Joseph,
Runs,Gaylord Jackson,
Runs,Stanley,
Runs,Fred Ingles,
Runs,Fred Ingles,
Runs,Eric James,
Runs,Peter Irvine,
Runs,David Arthur,
Runs,Eduardo,
Runs,Gary Douglas,
Runs,Vernon Gerald,
Runs,Lynn Nolan,
Runs,Raymond Michael,
Runs,Raymond Michael,
Runs,Kenneth George,
Runs,William Robert,
Runs,William Robert,
Runs,Craig Richard,
Runs,James Michael,
Runs,Edward Nelson,
Runs,Jeffrey Michael,
Runs,Stanley Brown,
Runs,William Edward,
Runs,James Harold,
Runs,Peter Dennis,
Runs,Gary Richard,
Runs,Richard Charles,
Runs,Wilbur Forrester,
Runs,James Harlan,
Runs,Donald William,
Runs,William Glenn,
Runs,Doyle Lafayette,
Runs,Lawrence Dennis,
Runs,Larry Eugene,
Runs,Fernando,
Runs,Gerald Lee,
Runs,Michael James,
Runs,Stanley Raymond,
Runs,Charles Douglas,
Runs,Raymond Douglas,
Runs,Leonard Harold,
Runs,Michael Roswell,
Runs,Francisco Javier,
Runs,Gary Ray,
Runs,James Blair,
Runs,Rik Aalbert,
Runs,Thomas Winton,
Runs,Kenneth Alven,
Runs,Nelson Kelley,
Runs,Nelson Kelley,
Runs,Thomas Michael,
Runs,Steven Michael,
Runs,Jim Scott,
Runs,Thomas William,
Runs,William Franklin,
Runs,Jeffrey Alan,
Runs,Ralph Michael,
Runs,William Richard,
Runs,Cardell,
Runs,John Cascaes,
Runs,Donald George,
Runs,Clay Palmer,
Runs,William Radhames,
Runs,Silvio Antonio,
Runs,James,
Runs,Kenneth Earl,
Runs,Reginald Leslie,
Runs,Barry Lee,
Runs,James Frederick,
Runs,Robert,
Runs,Miguel Angel,
Runs,John Bruce,
Runs,Michael Edward,
Runs,Dennis Lee,
Runs,Patrick Edward,
Runs,Richard Anthony,
Runs,Richard Anthony,
Runs,Steven John,
Runs,Dock Phillip,
Runs,Dock Phillip,
Runs,Dock Phillip,
Runs,Joseph Gregory,
Runs,Edward Joseph,
Runs,Mark Steven,
Runs,Eduardo,
Runs,Alan James,
Runs,Michael Kendall,
Runs,Richard Nevin,
Runs,Steven Raymond,
Runs,Carl David,
Runs,Robert Joseph,
Runs,Marcus Wayne,
Runs,Theodore Jared,
Runs,Edward Paul,
Runs,Stephen Joseph,
Runs,Ross Albert,
Runs,Donald Edward,
Runs,Lawrence Cyril,
Runs,Tom Edward,
Runs,David Edward,
Runs,Steven Lowell,
Runs,Steven Lowell,
Runs,Charles Oscar,
Runs,Paul Franklin,
Runs,Ramon,
Runs,John Frederick,
Runs,Samuel Russell,
Runs,Frederick William,
Runs,Jeffrey Owen,
Runs,Kenneth Dale,
Runs,Frederick Wayne,
Runs,Thomas Ross,
Runs,Thomas Ross,
Runs,James Michael,
Runs,James Augustus,
Runs,Jesse Harrison,
Runs,Ferguson Arthur,
Runs,Clair Barth,
Runs,David Charles,
Runs,Jerry Michael,
Runs,Thomas Frederick,
Runs,Michael Dennis,
Runs,James Lester,
Runs,Donald Paul,
Runs,Donald Paul,
Runs,Robert Christian,
Runs,Darold Duane,
Runs,Kenneth Peter,
Runs,Richard Allen,
Runs,John Andrew Charles,
Runs,Fred Mahele,
Runs,Lerrin Harris,
Runs,Gary Dean,
Runs,James Rick,
Runs,William Harry,
Runs,William Harry,
Runs,William Francis,
Runs,David Lawrence,
Runs,Frank Louis,
Runs,Michael Grant,
Runs,Jose Dennis,
Runs,Silvio Ramon,
Runs,Felix Anthony,
Runs,Rudolph,
Runs,Steven Earl,
Runs,Robert Craig,
Runs,Scott Houston,
Runs,Byron Scott,
Runs,George Francis,
Runs,George Francis,
Runs,Dyar K.,
Runs,Dyar K.,
Runs,Randall Scott,
Runs,Craig Seton,
Runs,Paul Michael,
Runs,Paul Michael,
Runs,Isidro Pedroza,
Runs,Isidro Pedroza,
Runs,John Evans,
Runs,Balor Lilbon,
Runs,Tommy Joe,
Runs,Rogelio,
Runs,John Scott,
Runs,Thomas Andrew,
Runs,Thomas Andrew,
Runs,David Percy,
Runs,James Alvin,
Runs,Michael Everett,
Runs,Gilbert Thomas,
Runs,Martin William,
Runs,Michael DeWayne,
Runs,Michael Joseph,
Runs,Gaylord Jackson,
Runs,Richard Henry,
Runs,John Paul,
Runs,Peter Irvine,
Runs,Steven,
Runs,David Arthur,
Runs,Eduardo,
Runs,Gary Douglas,
Runs,David Scott,
Runs,Vernon Gerald,
Runs,Lynn Nolan,
Runs,Ralph Robert,
Runs,Diego Pablo,
Runs,Gary Wayne,
Runs,James Philip,
Runs,Wayne Kirby,
Runs,William Robert,
Runs,James Michael,
Runs,Lary Alan,
Runs,Paul William,
Runs,Robert William,
Runs,Chester Earl,
Runs,Steven Michael,
Runs,Robert Joseph,
Runs,Frank Daryl,
Runs,Bruce Bell,
Runs,Stanley Brown,
Runs,Stanley Brown,
Runs,George Lynford,
Runs,Luis Clemente,
Runs,Richard William,
Runs,Michael Augustine,
Runs,Michael Augustine,
Runs,William Edward,
Runs,James Harold,
Runs,James Harold,
Runs,John C.,
Runs,John C.,
Runs,Peter Dennis,
Runs,Robert Thomas,
Runs,Michael Sherman,
Runs,Gary Richard,
Runs,Milton Edward,
Runs,Randall E.,
Runs,Michael Henry,
Runs,James Arthur,
Runs,Richard Charles,
Runs,Wilbur Forrester,
Runs,Geoffrey Clayton,
Runs,Donald William,
Runs,William Glenn,
Runs,Doyle Lafayette,
Runs,Fernando,
Runs,Gerald Lee,
Runs,Steven Byrne,
Runs,Leonard Harold,
Runs,Michael Roswell,
Runs,Francisco Javier,
Runs,Ross,
Runs,James Louis,
Runs,John Eugene,
Runs,James Douglas,
Runs,Mark Vincent,
Runs,Kenneth Alven,
Runs,Nelson Kelley,
Runs,Peter Sven,
Runs,Thomas Dale,
Runs,Thomas Henry,
Runs,Steven Michael,
Runs,Robert Britt,
Runs,Sheldon John,
Runs,Steven Lee,
Runs,Thomas William,
Runs,Ralph Michael,
Runs,William Richard,
Runs,John Cascaes,
Runs,William Radhames,
Runs,James,
Runs,Reginald Leslie,
Runs,James William,
Runs,James William,
Runs,Joseph Howard,
Runs,Steven Michael,
Runs,Timothy James,
Runs,James Frederick,
Runs,Victor Manuel,
Runs,Daniel Wayne,
Runs,Ronald Gene,
Runs,Richard Anthony,
Runs,Rawlins Jackson,
Runs,Dennis Lee,
Runs,Roger Farrell,
Runs,Edward Joseph,
Runs,Mark Steven,
Runs,Alan James,
Runs,Alan James,
Runs,Michael Kendall,
Runs,John Richard,
Runs,David Alan,
Runs,Steven Raymond,
Runs,Steven Raymond,
Runs,David James,
Runs,Carl David,
Runs,Richard Blackwell,
Runs,Marcus Wayne,
Runs,Theodore Jared,
Runs,Edward Paul,
Runs,David Allan,
Runs,Richard Michael,
Runs,Thomas James,
Runs,Donald Edward,
Runs,Lawrence Cyril,
Runs,Bryan Edmund,
Runs,Roric Edward,
Runs,Paul Franklin,
Runs,Andrew Earl,
Runs,Andrew Earl,
Runs,John Frederick,
Runs,Richard Michael,
Runs,Jeffrey Owen,
Runs,Kenneth Dale,
Runs,Frederick Wayne,
Runs,Donald Harris,
Runs,Thomas Ross,
Runs,Alan Thomas,
Runs,James Augustus,
Runs,Darrell Preston,
Runs,Jesse Harrison,
Runs,David Charles,
Runs,Thomas Frederick,
Runs,Robert Lynn,
Runs,Joseph Thomas,
Runs,Dennis Paul,
Runs,Robert Christian,
Runs,Kenneth Peter,
Runs,Richard Allen,
Runs,John Andrew Charles,
Runs,Robert Joseph,
Runs,David Eugene,
Runs,Henry John,
Runs,William Francis,
Runs,David Lawrence,
Runs,Dennis Patrick,
Runs,Paul Aaron,
Runs,Albert Walter,
Runs,Jose Dennis,
Runs,Jonathan Trumpbour,
Runs,Larry Stephen,
Runs,Steven Earl,
Runs,Robert Craig,
Runs,Randall Kent,
Runs,Scott Houston,
Runs,Byron Scott,
Runs,George Francis,
Runs,John Alexander,
Runs,Dyar K.,
Runs,Stephen Bernard,
Runs,Paul Thomas,
Runs,Paul Michael,
Runs,John Evans,
Runs,Balor Lilbon,
Runs,Rogelio,
Runs,Michael Thomas,
Runs,John Scott,
Runs,Willard Lawrence,
Runs,Thomas Andrew,
Runs,James Alvin,
Runs,Michael Everett,
Runs,William Herbert,
Runs,Martin William,
Runs,Michael DeWayne,
Runs,Stanley,
Runs,Richard Henry,
Runs,Michael James,
Runs,David Christopher,
Runs,Peter Irvine,
Runs,Steven,
Runs,Andrew David,
Runs,Allen Stevens,
Runs,Eduardo,
Runs,Enrique,
Runs,David Scott,
Runs,Lynn Nolan,
Runs,Guerrant McCurdy,
Runs,James Michael,
Runs,Lary Alan,
Runs,Paul William,
Runs,Robert John,
Runs,Donald Joseph,
Runs,Robert William,
Runs,William Randolph,
Runs,Chester Earl,
Runs,Samuel Lee,
Runs,Timothy Paul,
Runs,Steven Michael,
Runs,Johnny Ike,
Runs,Robert Joseph,
Runs,Frank Daryl,
Runs,Bruce Bell,
Runs,Gregory Allen,
Runs,Paul Gayton,
Runs,George Lynford,
Runs,Luis Clemente,
Runs,Richard William,
Runs,David Vance,
Runs,James Richard,
Runs,Michael Augustine,
Runs,Pablo Arnoldo,
Runs,William Edward,
Runs,Steven Russell,
Runs,James Harold,
Runs,Thomas Gerald,
Runs,David William,
Runs,Milton Edward,
Runs,Mark Eugene,
Runs,Michael Henry,
Runs,James Arthur,
Runs,Alan Lee,
Runs,Richard Charles,
Runs,Wilbur Forrester,
Runs,Richard Cooper,
Runs,James Clifton,
Runs,Kip Lane,
Runs,Geoffrey Clayton,
Runs,Donald William,
Runs,William Glenn,
Runs,Doyle Lafayette,
Runs,Brian Marshall,
Runs,Larry Eugene,
Runs,Richard Lee,
Runs,Fernando,
Runs,Gerald Lee,
Runs,Robert Ernest,
Runs,Michael James,
Runs,Steven Byrne,
Runs,Floyd Franklin,
Runs,Leonard Harold,
Runs,Michael Roswell,
Runs,Francisco Javier,
Runs,James Leland,
Runs,Ross,
Runs,James Louis,
Runs,John Eugene,
Runs,Danny Jon,
Runs,Ralph Wayne,
Runs,Roy,
Runs,Kenneth Alven,
Runs,Robert Britt,
Runs,Sheldon John,
Runs,Bertram Ray,
Runs,Steven Lee,
Runs,Thomas William,
Runs,Ralph Michael,
Runs,William Richard,
Runs,William Radhames,
Runs,Craig Phillip,
Runs,Gary Richard,
Runs,Michael,
Runs,James,
Runs,Kenneth Earl,
Runs,Mark Alan,
Runs,Reginald Leslie,
Runs,David Eugene,
Runs,Steven Michael,
Runs,Victor Manuel,
Runs,Daniel Wayne,
Runs,George Henry,
Runs,Richard Elliott,
Runs,Robert Alan,
Runs,Craig,
Runs,Dennis Lee,
Runs,Steven Allen,
Runs,Claude Lee,
Runs,Dock Phillip,
Runs,Roger Farrell,
Runs,Mark Gerald,
Runs,Edward Joseph,
Runs,Edward Joseph,
Runs,Terry Lane,
Runs,Robert Eugene,
Runs,Mark Steven,
Runs,Eduardo,
Runs,Michael Kendall,
Runs,John Richard,
Runs,David Alan,
Runs,David James,
Runs,Carl David,
Runs,Robert Joseph,
Runs,Richard Blackwell,
Runs,Theodore Jared,
Runs,Jerry Don,
Runs,David Allan,
Runs,Richard Michael,
Runs,Michael Leroy,
Runs,Stephen Joseph,
Runs,Lawrence Cyril,
Runs,Bryan Edmund,
Runs,David Edward,
Runs,Paul Franklin,
Runs,Andrew Earl,
Runs,John Frederick,
Runs,Richard Michael,
Runs,Richard Michael,
Runs,Guy Alan,
Runs,Jeffrey Owen,
Runs,Frederick Wayne,
Runs,Donald Harris,
Runs,Donald Harris,
Runs,Fred Irving,
Runs,Dewey LaMarr,
Runs,Alan Thomas,
Runs,Phillip Lee,
Runs,James Augustus,
Runs,Jesse Harrison,
Runs,John Henry,
Runs,John Henry,
Runs,Odell,
Runs,James Lee,
Runs,Robert Lynn,
Runs,Matthew Lon,
Runs,Brian Paul,
Runs,Robert Christian,
Runs,Jerome Martin,
Runs,Kenneth Peter,
Runs,John Andrew Charles,
Runs,Lerrin Harris,
Runs,James Rick,
Runs,David Eugene,
Runs,David Lawrence,
Runs,Mark,
Runs,Dennis Patrick,
Runs,James Martin,
Runs,Stephen Lee,
Runs,Jose Dennis,
Runs,Donald Renie,
Runs,Felix Anthony,
Runs,Jonathan Trumpbour,
Runs,Larry Stephen,
Runs,Steven Earl,
Runs,Scott Houston,
Runs,Byron Scott,
Runs,George Francis,
Runs,Dyar K.,
Runs,Dyar K.,
Runs,Craig Stephen,
Runs,Stephen Bernard,
Runs,Paul Thomas,
Runs,Paul Michael,
Runs,Paul Michael,
Runs,John Evans,
Runs,John Evans,
Runs,Balor Lilbon,
Runs,Michael Thomas,
Runs,Thomas Andrew,
Runs,Michael Kelvin,
Runs,James Alvin,
Runs,Michael Everett,
Runs,William Herbert,
Runs,Martin William,
Runs,Michael DeWayne,
Runs,Michael James,
Runs,Daniel Raymond,
Runs,Charles David,
Runs,David Christopher,
Runs,Clarence George,
Runs,Wilhelmus Abraham,
Runs,Steven,
Runs,Andrew David,
Runs,Paul Richard,
Runs,David Allan,
Runs,Jeffrey Alan,
Runs,Allen Stevens,
Runs,Bruce Duane,
Runs,Dewey Everett,
Runs,Eduardo,
Runs,Gilberto,
Runs,David Scott,
Runs,Lynn Nolan,
